Id,Brand,Vehicle,Market,Page_URL,Chassi_model,Model,Engine,Engine_code,Prod period,Body,Body_code,Grade,Grade_code,Transm,Transm_code,Options
0,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,GRN210L,GRN210L-GKAGKA,1GRFE,4000CC 24-VALVE DOHC EFI,08.2004 - 08.2005,,,SR5,SR-5 TYPE,ATM,AUTOMATIC TRANSMISSION,"{'5FC': 'ATM, 5-SPEED FLOOR SHIFT'}"
1,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,GRN210L,GRN210L-GKAGKA,1GRFE,4000CC 24-VALVE DOHC EFI,08.2005 - 08.2009,,,SR5,SR-5 TYPE,ATM,AUTOMATIC TRANSMISSION,"{'5FC': 'ATM, 5-SPEED FLOOR SHIFT'}"
2,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,GRN210L,GRN210L-GKAZKA,1GRFE,4000CC 24-VALVE DOHC EFI,08.2004 - 08.2005,,,LIMD,LIMITED TYPE,ATM,AUTOMATIC TRANSMISSION,"{'5FC': 'ATM, 5-SPEED FLOOR SHIFT'}"
3,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,GRN210L,GRN210L-GKAZKA,1GRFE,4000CC 24-VALVE DOHC EFI,08.2005 - 08.2009,,,LIMD,LIMITED TYPE,ATM,AUTOMATIC TRANSMISSION,"{'5FC': 'ATM, 5-SPEED FLOOR SHIFT'}"
4,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,GRN210L,GRN210L-GKPGKA,1GRFE,4000CC 24-VALVE DOHC EFI,11.2002 - 08.2004,,,SR5,SR-5 TYPE,ATM,AUTOMATIC TRANSMISSION,"{'4FC': 'ATM, 4-SPEED FLOOR SHIFT'}"
5,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,GRN210L,GRN210L-GKPZKA,1GRFE,4000CC 24-VALVE DOHC EFI,11.2002 - 08.2004,,,LIMD,LIMITED TYPE,ATM,AUTOMATIC TRANSMISSION,"{'4FC': 'ATM, 4-SPEED FLOOR SHIFT'}"
6,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,GRN215L,GRN215L-GKAGKA,1GRFE,4000CC 24-VALVE DOHC EFI,08.2004 - 08.2005,,,SR5,SR-5 TYPE,ATM,AUTOMATIC TRANSMISSION,"{'5FC': 'ATM, 5-SPEED FLOOR SHIFT'}"
7,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,GRN215L,GRN215L-GKAGKA,1GRFE,4000CC 24-VALVE DOHC EFI,08.2005 - 08.2009,,,SR5,SR-5 TYPE,ATM,AUTOMATIC TRANSMISSION,"{'5FC': 'ATM, 5-SPEED FLOOR SHIFT'}"
8,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,GRN215L,GRN215L-GKAZKA,1GRFE,4000CC 24-VALVE DOHC EFI,08.2004 - 08.2005,,,LIMD,LIMITED TYPE,ATM,AUTOMATIC TRANSMISSION,"{'5FC': 'ATM, 5-SPEED FLOOR SHIFT'}"
9,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,GRN215L,GRN215L-GKAZKA,1GRFE,4000CC 24-VALVE DOHC EFI,08.2005 - 08.2009,,,LIMD,LIMITED TYPE,ATM,AUTOMATIC TRANSMISSION,"{'5FC': 'ATM, 5-SPEED FLOOR SHIFT'}"
